Country,CountryCode,Schizophrenia,Bipolardisorder,Eatingdisorders,Anxietydisorders,Drugusedisorders,Depression,Alcoholusedisorders,MentalHealthPrevalence,Others
Afghanistan,AFG,0.166157852,0.708088873,0.107142266,4.882481275,2.473933869,4.1363471,0.661217394,16.83085684,3.695488207
Albania,ALB,0.201025479,0.704479655,0.174046095,3.385244537,0.51761396,2.208414198,1.83795474,10.87711769,1.848339026
Algeria,DZA,0.19791314,0.818687153,0.213612216,5.065875684,1.717218255,3.661094496,0.665190886,14.54801541,2.208423576
Argentina,ARG,0.198093692,0.773376024,0.404033163,6.283677861,1.00890084,3.665488272,1.824514659,15.73826655,1.58018204
Armenia,ARM,0.197364768,0.717591363,0.167047141,2.592812824,0.504359712,2.754582696,1.96498794,10.69764747,1.79890103
Australia,AUS,0.363326333,1.142097012,0.943081004,6.584301177,2.315142073,4.623880986,1.511935142,18.38128344,0.897519709
Austria,AUT,0.256957852,0.939794174,0.675111962,5.341275395,0.902116974,3.260969994,1.824065094,14.36213608,1.161844633
Azerbaijan,AZE,0.199997828,0.689806924,0.204891198,2.583156736,0.486327895,2.592292962,2.305889053,10.4588512,1.396488602
Bahrain,BHR,0.206968624,0.836822159,0.273714302,4.67330436,1.695673821,3.879105153,0.723557569,14.12417099,1.835024998
Bangladesh,BGD,0.252599548,0.583419096,0.137974267,4.283988502,0.512800136,4.11061131,1.46219797,12.45967997,1.116089146
Belarus,BLR,0.197650079,0.699677097,0.210693402,2.946931986,0.779867569,4.022226083,5.342888132,12.12196909,0
Belgium,BEL,0.258072603,0.94715885,0.603868896,5.212644644,0.823451382,4.109186155,1.46563857,15.01809422,1.598073126
Benin,BEN,0.170321753,0.640205753,0.120290321,2.905293731,0.505540967,3.629898989,0.988583683,11.80562441,2.845489212
Bhutan,BTN,0.26763721,0.595887022,0.172339625,3.80143152,0.534974458,3.439333738,2.374372881,11.8937358,0.70775935
Bolivia,BOL,0.193935504,0.854218134,0.305250563,4.243625161,0.886176711,3.085904793,1.601922707,12.76313227,1.592098701
Bosnia and Herzegovina,BIH,0.200702951,0.718189698,0.172474446,3.402636085,0.433415503,2.319609956,2.828633321,10.98935745,0.913695494
Botswana,BWA,0.181927803,0.638942609,0.227732856,3.506339034,0.752750451,3.968129457,1.61433919,12.56816601,1.67800461
Brazil,BRA,0.20553404,1.106914712,0.277050765,6.069179504,1.061681334,3.29736759,2.683580505,14.51284946,0
Bulgaria,BGR,0.202455337,0.630776129,0.202411206,3.587520801,0.704289177,2.543140691,1.820826143,11.26192158,1.570502094
Burkina Faso,BFA,0.164744559,0.622073535,0.113354225,2.900238994,0.444063303,3.694253592,1.001796072,11.86874087,2.92821659
Burundi,BDI,0.154394081,0.613041852,0.090802341,3.585760098,0.500084321,3.721227706,1.569309325,12.90422437,2.669604641
Cambodia,KHM,0.208266148,0.509922388,0.108378572,3.289745188,0.570337425,3.094945297,0.844038411,11.49963066,2.873997226
Cameroon,CMR,0.170795519,0.628202387,0.133790102,2.908662652,0.588020694,3.745646542,1.024226612,11.81779705,2.618452548
Canada,CAN,0.315588104,0.716413354,0.477304277,5.178218395,2.276228814,3.988792073,1.617937042,15.50852866,0.9380466
Central African Republic,CAF,0.149087097,0.593029712,0.089183205,3.249990166,0.516703025,4.211728229,1.407711999,12.69716259,2.479729155
Chad,TCD,0.16801937,0.626774721,0.122128894,2.88704925,0.457399959,3.874837439,0.943401227,12.06587637,2.986265513
Chile,CHL,0.201430397,0.790591417,0.416122857,6.272084313,1.257150396,4.057723142,2.449470218,16.07548628,0.63091354
China,CHN,0.338174073,0.32190603,0.159587521,3.030968888,1.113943153,3.311305897,1.220902816,11.39650062,1.899712238
Colombia,COL,0.207210793,0.768913491,0.260257217,2.514802773,1.075525939,2.196154116,1.758512404,10.03512878,1.253752051
Congo,COG,0.169760115,0.614345498,0.161674795,3.270744943,0.56030569,4.008290792,1.448790478,12.28528963,2.051377316
Costa Rica,CRI,0.213890053,0.843752675,0.289341842,2.936829335,0.778956239,2.904787533,1.472594365,11.0572772,1.617125151
Croatia,HRV,0.207565418,0.720555576,0.217975136,3.447605933,0.713971201,2.779841732,2.080532342,11.46438392,1.296336581
Cyprus,CYP,0.252271954,0.937285429,0.506721279,5.304908404,0.58020757,3.32811079,1.110354263,14.24814531,2.228285623
Czech Republic,CZE,0.209989062,0.721569535,0.242372761,3.443600991,0.978265047,2.675387466,2.097172456,11.35070252,0.982345202
