Country,CountryCode,RegionCode,VoiceAndAccountability,Political StabilityNoViolence,GovernmentEffectiveness,RegulatoryQuality,RuleOfLaw,ControlofCorruption,AverageScore
Afghanistan,AFG,SASIA,22.1674881,0.476190478,9.134614944,6.730769157,4.807692528,3.846153736,7.860484824
Albania,ALB,SEUROPE,54.18719101,61.90476227,55.76922989,62.01922989,39.42307663,42.30769348,52.60186386
Algeria,DZA,NAFRICA,23.15270996,14.76190472,30.28846169,10.57692337,19.23077011,30.28846169,21.38320526
Argentina,ARG,SAM,65.51724243,53.33333206,59.61538315,41.34615326,46.15384674,47.59615326,52.26035182
Armenia,ARM,WASIA,32.01970291,20.47619057,50,64.42308044,49.51922989,32.69230652,41.52175172
Australia,AUS,AUNZ,94.58128357,77.61904907,92.30769348,98.07691956,93.2692337,92.78845978,91.44043986
Austria,AUT,WEUROPE,93.59606171,86.19047546,91.82691956,90.86538696,96.15384674,90.86538696,91.5830129
Azerbaijan,AZE,WASIA,6.896551609,18.5714283,47.11538315,43.26922989,32.21154022,17.78846169,27.64209914
Bahrain,BHR,WASIA,11.33004951,15.23809528,60.09615326,66.82691956,67.30769348,51.92307663,45.45366462
Bangladesh,BGD,SASIA,30.04926109,10.47619057,22.11538506,20.67307663,28.36538506,19.23077011,21.81834475
Belarus,BLR,EEUROPE,12.31527138,45.7142868,39.42307663,24.51922989,21.63461494,47.11538315,31.78697713
Belgium,BEL,WEUROPE,95.07389069,62.8571434,85.09615326,86.53845978,87.5,89.90384674,84.49491565
Benin,BEN,WAFRICA,58.62068939,48.09523773,26.44230843,33.17307663,30.28846169,33.65384674,38.37893677
Bhutan,BTN,SASIA,46.79803085,89.52381134,70.67308044,38.94230652,74.03845978,91.82691956,68.63376808
Bolivia,BOL,SAM,45.81280899,33.33333206,37.5,16.34615326,9.615385056,27.88461494,28.41538238
Bosnia and Herzegovina,BIH,SEUROPE,39.90147781,31.90476227,34.61538315,48.07692337,47.11538315,37.01922989,39.77219327
Botswana,BWA,SAFRICA,59.60591125,85.7142868,68.75,69.71154022,69.2307663,78.84615326,71.97644297
Brazil,BRA,SAM,61.57635498,31.4285717,41.82692337,51.44230652,43.75,36.05769348,44.34697501
Bulgaria,BGR,EEUROPE,59.11330032,60.47618866,63.94230652,72.59615326,51.92307663,50.96154022,59.8354276
Burkina Faso,BFA,WAFRICA,48.27586365,16.19047546,30.76922989,34.61538315,38.94230652,53.36538315,37.0264403
Burundi,BDI,EAFRICA,6.403940678,4.761904716,8.653845787,18.26922989,7.211538315,9.134614944,9.072512388
Cambodia,KHM,SEASIA,15.76354694,52.8571434,25.48077011,32.21154022,13.46153831,8.653845787,24.73806413
Cameroon,CMR,MAFRICA,20.19704437,12.38095284,19.71153831,20.19230843,14.90384579,11.05769253,16.40723038
Canada,CAN,NAM,96.05911255,88.57142639,97.11538696,97.59615326,95.67308044,95.67308044,95.11470667
Central African Republic,CAF,MAFRICA,17.24137878,5.714285851,2.884615421,4.807692528,2.884615421,11.53846169,7.511841615
Chad,TCD,MAFRICA,11.82266045,9.523809433,6.25,9.134614944,8.653845787,5.288461685,8.445565383
Chile,CHL,SAM,79.31034851,60.95238113,77.88461304,88.94230652,81.7307663,82.21154022,78.50532595
China,CHN,EASIA,7.881773472,36.66666794,68.2692337,48.55769348,44.71154022,46.63461685,42.12025428
Colombia,COL,SAM,49.26108551,17.61904716,51.44230652,65.86538696,40.38461685,43.75,44.72040717
Congo,COG,MAFRICA,16.74876785,28.5714283,11.05769253,7.211538315,12.01923084,8.17307663,13.96362241
Costa Rica,CRI,CAM,84.72906494,64.2857132,62.01922989,69.2307663,67.78845978,66.82691956,69.14669228
Croatia,HRV,SEUROPE,64.03940582,71.90476227,72.59615326,68.75,63.46154022,61.05769348,66.96825918
Cyprus,CYP,WASIA,83.25122833,67.14286041,79.80769348,81.25,79.80769348,78.36538696,78.27081044
Czech Republic,CZE,EEUROPE,76.84729004,84.2857132,81.25,86.05769348,83.65384674,70.67308044,80.46127065
Denmark,DNK,NEUROPE,96.55172729,75.7142868,95.67308044,92.30769348,97.59615326,98.55769348,92.73343913
Dominican Republic,DOM,CARR,52.21674728,51.90476227,38.94230652,52.88461685,36.05769348,24.51922989,42.75422605
Ecuador,ECU,SAM,40.88669968,41.42856979,39.90384674,14.42307663,25.48077011,30.76922989,32.14869881
