Country,CountryCode,HappinessRank,SDLadder,PositiveAffect,NegativeAffect,SocialSupport,Freedom,Corruption,Generosity,LogGDP,HLE
Finland,FIN,1,4,41,10,2,5,4,47,22,27
Denmark,DNK,2,13,24,26,4,6,3,22,14,23
Norway,NOR,3,8,16,29,3,3,8,11,7,12
Iceland,ISL,4,9,3,3,1,7,45,3,15,13
Netherlands,NLD,5,1,12,25,15,19,12,7,12,18
Switzerland,CHE,6,11,44,21,13,11,7,16,8,4
Sweden,SWE,7,18,34,8,25,10,6,17,13,17
New Zealand,NZL,8,15,22,12,5,8,5,8,26,14
Canada,CAN,9,23,18,49,20,9,11,14,19,8
Austria,AUT,10,10,64,24,31,26,19,25,16,15
Australia,AUS,11,26,47,37,7,17,13,6,18,10
Costa Rica,CRI,12,62,4,87,42,16,58,75,67,28
Israel,ISR,13,14,104,69,38,93,74,24,31,11
Luxembourg,LUX,14,3,62,19,27,28,9,30,2,16
United Kingdom,GBR,15,16,52,42,9,63,15,4,23,24
Ireland,IRL,16,34,33,32,6,33,10,9,6,20
Germany,DEU,17,17,65,30,39,44,17,19,17,25
Belgium,BEL,18,7,57,53,22,53,20,44,21,26
United States of America,USA,19,49,35,70,37,62,42,12,10,39
Czech Republic,CZE,20,20,74,22,24,58,121,117,32,31
United Arab Emirates,ARE,21,65,43,56,72,4,,15,4,60
Malta,MLT,22,42,83,103,16,12,32,5,28,19
Mexico,MEX,23,76,6,40,67,71,87,120,57,46
France,FRA,24,19,56,66,32,69,21,68,25,5
Chile,CHL,25,61,15,78,58,98,99,45,49,30
Guatemala,GTM,26,136,8,85,78,25,82,78,99,85
Saudi Arabia,SAU,27,93,49,82,62,68,,82,11,74
Qatar,QAT,28,86,,,,,,,1,43
Spain,ESP,29,21,107,107,26,95,78,50,30,3
Panama,PAN,30,121,7,48,41,32,104,88,51,33
Brazil,BRA,31,116,69,105,43,84,71,108,70,72
Uruguay,URY,32,88,10,76,35,30,33,80,52,35
Singapore,SGP,33,5,38,2,36,20,1,21,3,1
El Salvador,SLV,34,112,23,84,83,74,85,134,100,75
Italy,ITA,35,31,99,123,23,132,128,48,29,7
Bahrain,BHR,36,83,39,83,59,24,,23,20,42
Slovakia,SVK,37,39,53,47,21,108,142,70,35,38
Trinidad and Tobago,TTO,38,89,14,52,29,51,141,41,38,93
Poland,POL,39,28,76,33,44,52,108,77,41,36
Uzbekistan,UZB,40,99,19,15,11,1,18,29,104,83
Lithuania,LTU,41,55,138,41,17,122,113,124,36,62
Colombia,COL,42,120,30,88,52,56,124,111,74,51
Slovenia,SVN,43,54,114,71,14,13,97,54,34,29
Nicaragua,NIC,44,133,31,125,66,70,43,71,108,53
Argentina,ARG,45,97,28,93,46,54,109,123,55,37
Romania,ROU,46,75,80,62,86,57,146,102,48,61
Cyprus,CYP,47,95,60,99,90,81,115,39,33,6
Ecuador,ECU,48,113,11,113,71,42,68,95,86,45
Kuwait,KWT,49,98,89,97,69,47,,42,5,70
Thailand,THA,50,81,20,35,53,18,131,10,62,58
Latvia,LVA,51,30,119,38,34,126,92,105,43,68
South Korea,KOR,52,57,101,45,91,144,100,40,27,9
Estonia,EST,53,32,50,6,12,45,30,83,37,41
Jamaica,JAM,54,102,51,51,28,49,130,119,93,55
Mauritius,MUS,55,94,55,16,54,40,96,37,53,73
Japan,JPN,56,43,73,14,50,64,39,92,24,2
