Country,CountryCode,B2016,B2015,B2010,B2005,B2000,M2016,M2015,M2010,M2005,M2000,F2016,F2015,F2010,F2005,F2000
Afghanistan,AFG,53,53.2,51.6,49.6,46.9,52.1,52.6,50.9,49.1,46.2,54.1,54.1,52.3,50.2,47.7
Albania,ALB,68.1,67.8,66.4,65.4,64.9,66.7,66.5,64.7,64,62.9,69.6,69.3,68.2,67,67.2
Algeria,DZA,65.5,65.3,64.5,62.8,60.7,65.4,65.2,64.4,62.7,60.3,65.6,65.4,64.6,63,61.2
Argentina,ARG,68.4,68.2,67.3,66.7,65.7,65.9,65.7,64.9,64.2,63,70.7,70.5,69.7,69.3,68.4
Armenia,ARM,66.3,66,65.2,64.7,63.8,63.6,63.3,61.7,61.8,61.3,68.7,68.5,68.4,67.4,66.1
Australia,AUS,73,72.7,72.2,71.4,70.3,71.8,71.5,70.9,69.9,68.5,74.1,73.9,73.5,72.9,72
Austria,AUT,72.4,72.1,71.4,70.6,69.5,70.9,70.4,69.5,68.5,67.3,73.9,73.6,73.2,72.4,71.5
Azerbaijan,AZE,64.9,64.6,63.4,61.5,59.6,62.8,62.5,61.5,59.5,57.5,66.9,66.6,65.2,63.4,61.5
Bahrain,BHR,68.1,67.7,66.3,64.5,63,68.3,67.9,66.4,64.6,63.1,67.6,67.3,65.8,64.3,62.9
Bangladesh,BGD,63.3,62.8,60.7,58.6,56.5,62.6,62.2,60.4,58.6,56.8,64.1,63.6,61,58.6,56.2
Belarus,BLR,65.5,65.2,62.3,60.8,60.8,61.4,61.1,57.7,56.2,56.5,69.3,69,67,65.7,65.3
Belgium,BEL,71.6,71.4,70.8,69.9,68.9,70.2,70,69.1,68.2,66.9,73,72.8,72.3,71.6,71
Benin,BEN,53.5,53.1,51.7,49.7,48.4,52.5,52.2,50.7,48.8,47.2,54.4,54,52.6,50.7,49.4
Bhutan,BTN,60.7,60.2,58.7,56.2,52.6,60.8,60.4,59,56.4,52.8,60.5,60,58.4,55.9,52.3
Bolivia,BOL,63,62.7,61,58.5,56,61.3,61,59.5,57.1,54.8,64.8,64.4,62.6,59.9,57.2
Bosnia and Herzegovina,BIH,67.2,66.9,66.7,65.6,65.5,64.9,64.6,64.4,63.1,62.9,69.4,69.2,68.9,68,67.9
Botswana,BWA,57.5,56.8,52.9,45.3,42.7,55.2,54.4,50.6,44,41.4,59.5,59.1,55.2,46.4,44
Brazil,BRA,66,65.8,64.5,63.3,61.5,63.4,63.1,61.9,60.7,58.8,68.7,68.4,67.1,65.9,64.2
Bulgaria,BGR,66.4,66.2,65.7,64.7,63.7,63.5,63.4,62.9,61.9,61,69.2,69.1,68.5,67.6,66.7
Burkina Faso,BFA,52.9,52.4,49.7,45.9,43.1,52.7,52.1,49.4,45.4,42.4,53.1,52.6,50,46.2,43.7
Burundi,BDI,52.6,52.2,50.3,47.1,44.6,51.2,50.7,49.3,46.1,43.1,54,53.6,51.3,48.1,46.1
Cambodia,KHM,60.8,60.4,58.5,54.5,50,59.4,59,57,52.7,48.3,62.1,61.6,59.8,56.2,51.6
Cameroon,CMR,51.1,50.3,48.3,45.4,42.9,50.1,49.2,47.6,44.8,42.2,52,51.4,49.1,46.1,43.5
Canada,CAN,73.2,73,72.2,71.3,70.4,72,71.8,70.8,69.7,68.7,74.3,74.2,73.5,72.8,72.1
Central African Republic,CAF,44.9,44.6,42.7,39.7,39.2,43.9,43.9,42.1,39.2,38.6,45.9,45.3,43.4,40.2,39.8
Chad,TCD,47.2,46.7,45.1,42.7,41.5,46.5,46,44.5,42.3,40.7,48,47.5,45.6,43.2,42.3
