SrNo,Country,CountryCode,RegionCode,Y1990,Y1995,Y2000,Y2005,Y2010,Y2015,Y2017
1,WORLD,-,WORLD,152542373,160700028,172604257,190531600,220019266,247585744,257715425
2,AFRICA,-,AFRICA,15690623,16352814,14800306,15462306,17007249,23436088,24650223
3,Eastern Africa,-,EAFRICA,5964031,5022742,4844795,4745792,4657063,6920965,7591799
4,Burundi,BDI,EAFRICA,333110,254853,125628,172874,235259,289810,299569
5,Ethiopia,ETH,EAFRICA,1155390,806904,611384,514242,567720,1162576,1227143
6,Kenya,KEN,EAFRICA,297292,618745,699139,756894,926959,1084357,1078572
7,Madagascar,MDG,EAFRICA,23917,21177,23541,26058,28905,32075,33844
8,Malawi,MWI,EAFRICA,1127724,241624,232620,221661,217722,232803,237104
9,Mauritius,MUS,EAFRICA,3613,7493,15543,19647,24836,28585,28713
10,Mozambique,MOZ,EAFRICA,122332,168256,195702,204830,214612,238930,246954
11,Rwanda,RWA,EAFRICA,159869,233200,347076,432797,436787,441525,443088
12,Somalia,SOM,EAFRICA,478294,19527,20087,20670,23995,41578,44868
13,South Sudan,SSD,EAFRICA,0,0,0,0,257905,844122,845239
14,Uganda,UGA,EAFRICA,558307,634620,634703,652968,529160,1197162,1692120
15,Tanzania,TZA,EAFRICA,574025,1106043,928180,770846,308600,413309,492574
16,Zambia,ZMB,EAFRICA,279029,244338,321167,252749,149637,155428,156982
17,Zimbabwe,ZWE,EAFRICA,626821,431226,410041,392693,397891,403866,403866
18,Middle Africa,-,MAFRICA,1460530,2646108,1756687,1928828,2139979,3436978,3539697
19,Cameroon,CMR,MAFRICA,265344,246864,228383,258737,289091,508357,540266
20,Central African Republic,CAF,MAFRICA,67234,99712,123529,94449,93466,81598,88774
21,Chad,TCD,MAFRICA,74342,89584,104825,352062,416924,516968,489690
22,Congo,COG,MAFRICA,883791,945829,1059196,1069432,1173843,1147190,1153084
23,Gabon,GAB,MAFRICA,127980,152972,195571,214123,243992,268384,280197
24,Northern Africa,-,NAFRICA,2403200,2081640,1885650,1731939,1893613,2354732,2410056
25,Algeria,DZA,NAFRICA,273954,262032,250110,197422,216964,239473,248624
26,Egypt,EGY,NAFRICA,173708,166955,173452,274001,295714,565931,478310
27,Libya,LBY,NAFRICA,457075,508041,567436,625212,683998,771146,788419
28,Morocco,MAR,NAFRICA,54895,50360,53034,54379,70909,92424,95835
29,Tunisia,TUN,NAFRICA,37984,37867,36446,35040,43172,56701,57663
30,Southern Africa,-,SAFRICA,1392359,1191582,1222314,1439426,2357093,4112793,4338205
31,Botswana,BWA,SAFRICA,27510,40168,57064,88829,120912,160644,166430
32,Lesotho,LSO,SAFRICA,8240,7204,6167,6290,6414,6572,6749
33,Namibia,NAM,SAFRICA,120641,115372,134403,106274,102405,96888,95067
34,South Africa,ZAF,SAFRICA,1163883,1003807,1001825,1210936,2096886,3816696,4036696
35,Western Africa,-,WAFRICA,4470503,5410742,5090860,5616321,5959501,6610620,6770466
36,Benin,BEN,WAFRICA,76212,104971,133730,171499,209267,245399,253284
37,Burkina Faso,BFA,WAFRICA,349657,434848,520039,596972,673904,704676,708921
38,Ghana,GHA,WAFRICA,164851,252879,191601,304436,337017,399471,417642
39,Guinea,GIN,WAFRICA,403621,774505,560075,229611,177998,126386,122796
40,Liberia,LBR,WAFRICA,94964,208563,151868,87188,99129,113779,98630
41,Mali,MLI,WAFRICA,160736,176187,189475,256797,336607,365145,383721
42,Mauritania,MRT,WAFRICA,111650,89562,57366,58119,84679,166552,168438
43,Niger,NER,WAFRICA,115464,145999,122260,124461,126464,252998,295610
44,Nigeria,NGA,WAFRICA,456621,462999,487882,969294,988679,1199115,1235088
45,Senegal,SEN,WAFRICA,270410,287654,231901,238298,256092,263242,265601
46,Sierra Leone,SLE,WAFRICA,222242,105374,98241,149615,97452,91213,95248
47,Togo,TGO,WAFRICA,84844,101583,137891,203379,255262,276844,283966
48,ASIA,-,ASIA,48108431,46422010,49198332,53243730,65921788,76558152,79586709
49,Central Asia,-,CASIA,6630683,5890035,5183872,5238699,5262414,5393504,5462972
50,Kazakhstan,KAZ,CASIA,3619200,3245250,2871300,3102962,3334623,3546778,3635168
51,Kyrgyzstan,KGZ,CASIA,623083,510296,389558,312897,231511,204382,200294
52,Tajikistan,TJK,CASIA,428900,348347,299266,280444,278152,275059,273259
53,Turkmenistan,TKM,CASIA,306500,273565,218498,213051,197979,196386,195061
54,Uzbekistan,UZB,CASIA,1653000,1512577,1405250,1329345,1220149,1170899,1159190
55,Eastern Asia,-,EASIA,3959345,4658475,5393081,6229524,7061814,7600768,7776716
56,China,CHN,EASIA,376361,442198,508034,678947,849861,978046,999527
57,Japan,JPN,EASIA,1075626,1381097,1686567,2012916,2134151,2232189,2321476
58,Mongolia,MNG,EASIA,6718,7424,8206,11475,16061,17620,18204
59,South Korea,KOR,EASIA,43017,123886,244178,485546,919275,1143087,1151865
60,Southern Asia,-,SASIA,19436343,15343019,15278020,13722011,14307646,14173830,13582402
61,Afghanistan,AFG,SASIA,57686,71522,75917,87300,102246,489749,133612
62,Bangladesh,BGD,SASIA,881617,934735,987853,1166700,1345546,1422805,1500921
63,Bhutan,BTN,SASIA,23807,27972,32137,40279,48420,51106,52296
64,India,IND,SASIA,7493204,6952238,6411272,5923642,5436012,5240960,5188550
65,Iran,IRN,SASIA,4291601,2937668,2803805,2568930,2761561,2726420,2699155
66,Nepal,NPL,SASIA,429974,690225,717900,679457,578657,509855,502670
67,Pakistan,PAK,SASIA,6208204,3669308,4181912,3171132,3941586,3628956,3398154
68,Sri Lanka,LKA,SASIA,41561,40841,40132,39526,38959,39706,40018
69,South-Eastern Asia,-,SEASIA,2876616,3700057,4926833,6522343,8673693,9609923,9873600
70,Cambodia,KHM,SEASIA,38375,92230,146085,114031,81977,73963,76329
71,Indonesia,IDN,SEASIA,465612,378960,292307,289568,305416,338124,345930
72,Malaysia,MYS,SEASIA,695920,937368,1277223,1722344,2406011,2650617,2703629
73,Myanmar,MMR,SEASIA,133545,113663,98011,83025,76414,73308,74660
74,Philippines,PHL,SEASIA,154071,207345,318095,257468,208599,211862,218530
75,Singapore,SGP,SEASIA,727262,991492,1351691,1710594,2164794,2543638,2623404
76,Thailand,THA,SEASIA,528693,809720,1257821,2163447,3224131,3486526,3588873
77,Vietnam,VNM,SEASIA,28118,51262,56754,51768,61756,72793,76104
