Country,CountryCode,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024
Afghanistan,AFG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.68,196.95,214.23,248.05,270.19,321.44,377.26,430.87,532.07,602.18,661.09,635.64,629.33,594.51,560.60,569.53,543.72,547.51,558.98,584.53,620.00,660.30,706.87
Albania,ALB,728.36,817.73,824.54,815.53,788.33,788.80,855.72,832.25,805.05,860.78,675.74,408.02,259.75,452.62,736.03,903.99,1009.97,717.38,818.32,1032.26,1127.64,1283.57,1425.13,1846.12,2373.58,2673.73,2975.62,3594.10,4377.04,4130.93,4098.13,4438.93,4248.81,4422.67,4575.42,3944.88,4126.56,4539.25,5288.86,5561.68,6006.70,6503.04,7072.43,7641.64,8244.68
Algeria,DZA,2268.61,2305.51,2254.33,2316.68,2432.72,2753.70,2698.92,2705.11,2143.74,2127.87,2473.51,1819.98,1873.42,1894.95,1542.97,1499.14,1643.27,1658.73,1633.09,1630.07,1794.70,1768.58,1806.86,2128.39,2636.31,3141.03,3508.96,3986.56,4943.50,3886.06,4480.72,5453.89,5574.51,5477.06,5466.33,4153.32,3921.29,4016.09,4237.50,4229.78,4362.55,4436.87,4550.38,4643.64,4320.94
Argentina,ARG,8106.24,6467.99,3158.51,3841.89,4241.38,3149.68,3739.41,3790.75,4386.53,2779.87,4709.66,6233.39,7420.32,7558.50,8125.91,8053.12,8385.15,8918.83,9005.38,8452.88,8386.59,7851.66,2898.29,3648.06,4314.40,5163.55,5976.08,7315.73,9146.79,8337.81,10412.95,12787.81,13889.79,14488.83,13208.83,14895.32,12772.87,14588.01,11626.92,10604.15,11313.87,12178.42,12983.08,13782.28,14141.44
Armenia,ARM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.32,247.88,196.98,399.58,503.77,521.87,608.42,597.24,620.64,692.29,779.12,923.39,1180.40,1628.06,2128.15,3079.03,3913.44,2911.76,3121.78,3417.17,3575.53,3732.04,3889.00,3529.03,3526.34,3857.18,4149.30,4380.86,4635.69,4876.01,5135.87,5413.31,5707.71
Australia,AUS,10986.40,12504.40,12211.32,11569.77,12550.98,10946.55,11223.65,12973.74,16214.86,18167.79,18833.86,18631.37,18082.04,17424.34,19703.66,20868.05,23106.85,22990.44,20346.82,21726.34,20851.87,19431.46,21644.93,27222.02,32750.68,36151.04,37868.93,45105.41,49151.94,45685.24,56453.83,67222.14,68436.22,65170.85,61652.28,51493.96,51982.83,55957.72,56351.58,55421.33,57037.04,58765.15,60812.71,63022.66,65105.61
Austria,AUT,10731.96,9280.73,9267.67,9417.24,8882.63,9090.80,12886.10,16093.02,17632.82,17547.82,21827.45,22621.89,25068.41,24152.67,25725.57,30350.55,29820.61,26737.48,27399.09,27209.31,24631.58,24554.25,26482.84,32290.95,36871.58,38477.27,40672.61,46922.42,51953.56,48095.40,46958.52,51441.11,48615.82,50748.09,51814.37,44266.41,45105.75,47383.87,51509.03,51348.95,53450.66,55358.00,57349.66,59354.36,61515.12
Azerbaijan,AZE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,159.97,174.88,297.16,316.23,411.14,508.04,543.34,576.01,656.39,674.78,760.81,879.86,1039.82,1571.29,2458.42,3818.27,5578.56,4963.77,5880.81,7242.81,7545.87,7926.09,7939.17,5300.14,3897.71,4200.33,4569.20,4498.18,4659.09,4768.89,4872.12,5004.89,5160.26
Bahrain,BHR,10189.61,11061.39,11221.70,11117.66,11163.44,10182.37,7695.81,8049.36,9602.79,9668.04,10179.63,10252.37,10536.82,11290.27,11777.07,12143.09,12298.65,12422.12,11565.97,12210.22,14214.58,13894.34,13501.55,14486.06,15963.98,17966.22,19267.57,20908.34,23236.06,19465.29,20827.72,24080.43,25434.45,25965.31,25398.32,22714.30,22651.91,24399.25,25850.50,25781.35,26414.49,27043.34,27590.27,28246.54,29007.85
Bangladesh,BGD,274.33,260.21,231.99,236.75,262.12,262.55,267.98,287.84,302.59,324.93,329.49,331.73,324.43,332.77,353.91,383.10,393.53,402.89,407.35,415.37,412.33,406.41,419.69,454.10,485.66,495.49,523.03,584.50,655.95,728.39,807.53,857.50,916.03,1030.03,1163.04,1303.18,1458.85,1605.99,1744.51,1888.86,2039.54,2203.12,2379.83,2570.72,2776.91
