Country,CountryCode,Sex,y2016,y2015,y2010,y2000
Afghanistan,AFG,B,6.4,6.6,7.4,8.1
Afghanistan,AFG,M,10.6,10.9,12.5,14.3
Afghanistan,AFG,F,2.1,2.1,2.1,1.7
Albania,ALB,B,5.6,5.3,7.7,5.8
Albania,ALB,M,7,6.7,9.5,8.2
Albania,ALB,F,4.3,4,6,3.6
Algeria,DZA,B,3.3,3.4,3.5,4.7
Algeria,DZA,M,4.9,5,5.1,6.7
Algeria,DZA,F,1.8,1.8,1.9,2.8
Argentina,ARG,B,9.1,8.7,8.6,9.5
Argentina,ARG,M,15,14.4,14.4,16.2
Argentina,ARG,F,3.5,3.4,3.2,3.6
Armenia,ARM,B,5.7,6,5.4,3.2
Armenia,ARM,M,10.1,10.7,9.7,5.7
Armenia,ARM,F,2,2.2,1.9,1.2
Australia,AUS,B,11.7,12.2,11,12.2
Australia,AUS,M,17.4,18.3,16.8,19.2
Australia,AUS,F,6,6.2,5.3,5.4
Austria,AUT,B,11.4,11.5,12.2,16
Austria,AUT,M,17.5,18.2,19.5,25.2
Austria,AUT,F,5.7,5.3,5.4,7.9
Azerbaijan,AZE,B,2.6,2.7,3,2.4
Azerbaijan,AZE,M,4.3,4.4,5.1,4.1
Azerbaijan,AZE,F,1,1,1.2,1
Bahrain,BHR,B,5.7,5.7,5.3,7.3
Bahrain,BHR,M,7.9,7.9,7.1,10
Bahrain,BHR,F,2.1,2.2,2.6,3.5
Bangladesh,BGD,B,6.1,6.3,6.6,7
Bangladesh,BGD,M,5.5,5.5,4.9,6.2
Bangladesh,BGD,F,6.7,7.2,8.4,7.9
Belarus,BLR,B,21.4,21.2,31.9,38.7
Belarus,BLR,M,39.3,39.2,58.1,70.4
Belarus,BLR,F,6.2,6.1,9.6,11
Belgium,BEL,B,15.7,15.2,16.8,18.8
Belgium,BEL,M,22.2,21.6,24,27.3
Belgium,BEL,F,9.4,8.9,9.8,10.6
Benin,BEN,B,15.7,15.7,15.5,15.6
Benin,BEN,M,22.6,22.5,22.1,22.2
Benin,BEN,F,9.6,9.6,9.8,9.9
