Country,CountryCode,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013
Afghanistan,AFG,15.5,15.8,15.5,14.9,15.8,15.0,15.6,15.1,15.2,15.3,15.8,15.5,14.5,16.5
Albania,ALB,13.7,13.7,13.6,13.6,13.3,12.7,13.0,13.9,14.0,13.8,13.8,13.4,13.8,15.0
Algeria,DZA,24.0,24.7,24.3,24.4,23.9,24.2,24.2,24.1,24.0,24.2,25.2,24.1,24.0,25.1
Argentina,ARG,14.8,15.4,15.2,15.5,15.4,15.1,15.6,14.6,15.5,15.5,15.1,15.3,15.7,14.5
Armenia,ARM,9.9,10.4,9.6,9.4,9.7,9.7,10.1,9.5,9.7,9.8,11.5,9.1,10.4,11.3
Australia,AUS,21.7,21.8,22.5,22.4,22.3,22.9,22.3,22.5,22.2,22.7,22.1,21.8,22.0,22.1
Austria,AUT,8.1,7.2,7.9,7.5,6.9,6.6,7.3,8.0,7.8,7.6,6.6,7.9,7.6,8.1
Azerbaijan,AZE,12.6,13.1,12.4,12.0,12.6,12.7,12.7,12.5,12.4,12.6,14.0,11.8,13.1,14.2
Bahrain,BHR,27.1,27.4,27.3,27.4,27.2,27.0,27.2,27.2,27.0,27.3,28.1,27.1,27.5,27.9
Bangladesh,BGD,25.2,25.3,25.4,25.3,25.4,25.5,25.8,25.3,25.4,25.9,25.9,25.2,25.5,26.0
Belarus,BLR,7.9,7.1,7.7,6.7,6.9,7.0,7.0,7.9,8.1,7.2,7.0,7.6,6.8,8.3
Belgium,BEL,11.0,10.5,11.0,10.9,10.5,10.7,11.1,11.1,10.5,10.6,9.4,11.3,10.4,10.1
Benin,BEN,27.6,27.7,27.8,28.0,27.9,28.2,28.1,28.1,27.7,28.2,28.3,28.1,27.8,28.2
Bhutan,BTN,12.0,12.4,12.2,12.2,12.2,12.4,12.9,12.7,12.5,13.1,12.9,12.4,12.3,13.3
